accessRole;en;Access Role >=
account;en;Account
accountClosed;en;Your account has been closed.
accountCreated;en;Your account has been created. You can now <a href='/login'>login</a>.
accountData;en;Account Data
accountNotCreated;en;Your account could not be created.
add;en;Add
addMembers;en;Add Members
address;en;Address
admin;en;Admin
agenda;en;Agenda
agendaEntries;en;Agenda Entries
agendaEntry;en;Agenda Entry
agendaList;en;Agenda List
album;en;Album
albumDeleted;en;The album has been deleted.
albumName;en;Album Name
albumNotDeleted;en;The album could not be deleted.
albums;en;Albums
all;en;All
allEmailsOk;en;The post has been sent by email to all signed up members.
alreadyRegisteredForGroup;en;You are already registered for <i><b>{1}</b></i>.
applicationServer;en;Application Server
attachAfterSave;en;Attachments can only be added after the first save.
attachFile;en;Attach File
author;en;Author
authorContents;en;Author Contents
basedOnUserLanguage;en;Based on User Language
birthday;en;Birthday
calendar;en;Calendar
calendarLocalization;en;Calendar Localization
calendarLocalizationChanged;en;Calendar localization changed to: {1}
cancel;en;Cancel
categories;en;Categories
categoriesNotSaved;en;The categories could not be saved.
categoriesSaved;en;The categories have been saved.
category;en;Category
change;en;Change
changeAlbumName;en;Change Album Name
changeCalendarLocalization;en;Change Calendar Localization
changeGroupName;en;Change Group Name
changePassword;en;Change Password
changeRole;en;Change Role
changesSaved;en;The changes have been saved.
checkImgFile;en;Please check if your file is a valid image file.
checkSpamFolder;en;If the message does not appear in your inbox, please check your spam folder.
city;en;City
closeAccount;en;Close Account
closeAccountError;en;Error: The account could not be closed.
closeAccountReason;en;Please tell us the reason for closing your account
code;en;Code
color;en;Color
confirmCloseAccount;en;Do you really want to close your account? This step cannot be undone.
confirmDeleteAlbum;en;Do you really want to delete the album <b><i>{1}</i></b>?
confirmDeleteEntry;en;Do you really want to delete the entry <b><i>{1}</i></b>?
confirmDeleteEntryAllRec;en;Do you really want to delete the entry <b><i>{1}</i></b> and all its recurrences?
confirmDeleteFile;en;Do you really want to delete the file <b><i>{1}</i></b>?
confirmDeleteFolder;en;Do you really want to delete the folder <b><i>{1}</i></b>?
confirmDeleteGroup;en;Do you really want to delete the group <b><i>{1}</i></b>?
confirmDeleteImage;en;Do you really want to delete the image <b><i>{1}</i></b>?
confirmDeleteMessage;en;Do you really want to delete the message sent at <b><i>{1}</i></b>?
confirmDeletePost;en;Do you really want to delete the post <b><i>{1}</i></b>?
confirmQuitGroup;en;Do you really want to quit this group?
confirmRemoveMember;en;Do you really want to remove the member <b><i>{1}</i></b>?
contact;en;Contact
contactForm;en;Contact Form
contactMessage;en;Message
contentOwner;en;Content Owner
contentTypes;en;Content Types
continue;en;Continue
continued;en;cont.
cookiesAgreement;en;By submitting this form you agree on the usage of <a href='https://www.allaboutcookies.org/' target='_blank'>cookies</a>. Cookies are only used to maintain a session and, if wanted, to ease the next login on the same device.
country;en;Country
create;en;Create
createAlbum;en;Create a New Album
createGroup;en;Create a New Group
daily;en;Daily
date;en;Date
dateSpan;en;Date Span
daysPerPage;en;Days per Page:
dbSystem;en;Database System
defaultCategoriesList;en;,Event, Task, Reminder
delete;en;Delete
deleteAgendaEntry;en;Delete Agenda Entry
deleteAlbum;en;Delete Album
deleteCategoryWarning;en;Attention: Deleting a category will also delete all entries of this category.
deleted;en;Deleted
deleteEntry;en;Delete Entry
deleteFile;en;Delete File
deleteFolder;en;Delete Folder
deleteGroup;en;Delete Group
deleteImage;en;Delete Image
deleteMessage;en;Delete Message
deletePost;en;Delete Post
demoAccountNotCreated;en;The demo account could not be created.
demoLogin;en;Demo Login
descAgendaList;en;The agenda entries as a list, containing also undated entries.
descAlbums;en;Image albums which can be managed by authors. Thumbnail views are automatically created. Large images are resized to fit on the screen.
descCalendar;en;Graphical calendar with month, week and day view. Entries can be filtered by custom categories, and moved with drag and drop.
descContact;en;Contact form for inquiries and support. We will respond as quickly as possible.
descDemoLogin;en;The form for a demo login. A temporary demo account is created for you.
descError;en;Unfortunately an error occurred.
descFiles;en;Management of shared files and documents. The files can be organized in folders. Access can be restricted based on user roles.
descGroup;en;Home page of the group: {1}. This is the root of the content and configurations for this group.
descIndex;en;Organization of groups: associations, teams, classes, etc. With membership management, calendar, posting function, messenger, file manager, albums, etc.
descLanguage;en;A selectable list of all user interface languages.
descLogin;en;The login form for your account. Enter your email address and password. You may select to keep your login for the next session.
descMembers;en;The list of all group members with search options. Administrators can add new members here.
descMessages;en;The messenger for communication and discussions within the group. All messages are visible for all group members.
descNewAccount;en;Fill out this form to create your personal account. You must enter the human readable code for the SPAM protection mechanism.
descOpenSource;en;{1} is based on open source software: MariaDB, Tomcat application server, Java development kit (JDK), FullCalendar, Jodit editor.
descPermissions;en;Settings and descriptions of the group access permissions. The settings can only be changed by administrators.
descPost;en;The text, images and links of a single post.
descPosts;en;The list of all published posts, containing the titles, authors and last modification times.
