accessRole;Access Role >=
account;Account
accountClosed;Your account has been closed.
accountCreated;Your account has been created. You can now <a href='/login'>login</a>.
accountData;Account Data
accountNotCreated;Your account could not be created.
add;Add
addMembers;Add Members
address;Address
admin;Admin
agenda;Agenda
agendaEntries;Agenda Entries
agendaEntry;Agenda Entry
agendaList;Agenda List
album;Album
albumDeleted;The album has been deleted.
albumName;Album Name
albumNotDeleted;The album could not be deleted.
albums;Albums
all;All
allEmailsOk;The post has been sent by email to all signed up members.
alreadyRegisteredForGroup;You are already registered for <i><b>{1}</b></i>.
applicationServer;Application Server
attachAfterSave;Attachments can only be added after the first save.
attachFile;Attach File
author;Author
authorContents;Author Contents
basedOnUserLanguage;Based on User Language
birthday;Birthday
calendar;Calendar
calendarLocalization;Calendar Localization
calendarLocalizationChanged;Calendar localization changed to: {1}
cancel;Cancel
categories;Categories
categoriesNotSaved;The categories could not be saved.
categoriesSaved;The categories have been saved.
category;Category
change;Change
changeAlbumName;Change Album Name
changeCalendarLocalization;Change Calendar Localization
changeGroupName;Change Group Name
changePassword;Change Password
changeRole;Change Role
changesSaved;The changes have been saved.
checkImgFile;Please check if your file is a valid image file.
checkSpamFolder;If the message does not appear in your inbox, please check your spam folder.
city;City
closeAccount;Close Account
closeAccountError;Error: The account could not be closed.
closeAccountReason;Please tell us the reason for closing your account
code;Code
color;Color
confirmCloseAccount;Do you really want to close your account? This step cannot be undone.
confirmDeleteAlbum;Do you really want to delete the album <b><i>{1}</i></b>?
confirmDeleteEntry;Do you really want to delete the entry <b><i>{1}</i></b>?
confirmDeleteEntryAllRec;Do you really want to delete the entry <b><i>{1}</i></b> and all its recurrences?
confirmDeleteFile;Do you really want to delete the file <b><i>{1}</i></b>?
confirmDeleteFolder;Do you really want to delete the folder <b><i>{1}</i></b>?
confirmDeleteGroup;Do you really want to delete the group <b><i>{1}</i></b>?
confirmDeleteImage;Do you really want to delete the image <b><i>{1}</i></b>?
confirmDeleteMessage;Do you really want to delete the message sent at <b><i>{1}</i></b>?
confirmDeletePost;Do you really want to delete the post <b><i>{1}</i></b>?
confirmQuitGroup;Do you really want to quit this group?
confirmRemoveMember;Do you really want to remove the member <b><i>{1}</i></b>?
contact;Contact
contactForm;Contact Form
contactMessage;Message
contentOwner;Content Owner
contentTypes;Content Types
continue;Continue
continued;cont.
cookiesAgreement;By submitting this form you agree on the usage of <a href='https://www.allaboutcookies.org/' target='_blank'>cookies</a>. Cookies are only used to maintain a session and, if wanted, to ease the next login on the same device.
country;Country
create;Create
createAlbum;Create a New Album
createGroup;Create a New Group
daily;Daily
date;Date
dateSpan;Date Span
daysPerPage;Days per Page:
dbSystem;Database System
defaultCategoriesList;,Event, Task, Reminder
delete;Delete
deleteAgendaEntry;Delete Agenda Entry
deleteAlbum;Delete Album
deleteCategoryWarning;Attention: Deleting a category will also delete all entries of this category.
deleted;Deleted
deleteEntry;Delete Entry
deleteFile;Delete File
deleteFolder;Delete Folder
deleteGroup;Delete Group
deleteImage;Delete Image
deleteMessage;Delete Message
deletePost;Delete Post
demoAccountNotCreated;The demo account could not be created.
demoLogin;Demo Login
descAgendaList;The agenda entries as a list, containing also undated entries.
descAlbums;Image albums which can be managed by authors. Thumbnail views are automatically created. Large images are resized to fit on the screen.
descCalendar;Graphical calendar with month, week and day view. Entries can be filtered by custom categories, and moved with drag and drop.
descContact;Contact form for inquiries and support. We will respond as quickly as possible.
descDemoLogin;The form for a demo login. A temporary demo account is created for you.
descError;Unfortunately an error occurred.
descFiles;Management of shared files and documents. The files can be organized in folders. Access can be restricted based on user roles.
descGroup;Home page of the group: {1}. This is the root of the content and configurations for this group.
descIndex;Organization of groups: associations, teams, classes, etc. With membership management, calendar, posting function, messenger, file manager, albums, etc.
descLanguage;A selectable list of all user interface languages.
descLogin;The login form for your account. Enter your email address and password. You may select to keep your login for the next session.
descMembers;The list of all group members with search options. Administrators can add new members here.
descMessages;The messenger for communication and discussions within the group. All messages are visible for all group members.
descNewAccount;Fill out this form to create your personal account. You must enter the human readable code for the SPAM protection mechanism.
descOpenSource;{1} is based on open source software: MariaDB, Tomcat application server, Java development kit (JDK), FullCalendar, Jodit editor.
descPermissions;Settings and descriptions of the group access permissions. The settings can only be changed by administrators.
descPost;The text, images and links of a single post.
descPosts;The list of all published posts, containing the titles, authors and last modification times.
descPwRecovery;You can add a temporary password to your account, which will be sent to your email address, in order to reset your main password.
description;Description
descTimeTable;The agenda entries as a time table. Entries over multiple days are split into single entries for every day.
downloadAll;Download All
editor;Editor
emailAddress;Email Address
emailAlreadySignedup;There is already an account with this email address. Please use the service <a href='/passwordRecovery'>Recover Password</a>.
emailNotOk;The post could not be sent to the email address <b><i>{1}</i></b>.
emailsInvalid;The following email addresses are invalid:
emailsNotOk;The post could not be sent by email.
enableCookieSupport;You must enable the cookie support of your browser!
enterCode;Please enter the code
enterEmailAddress;Please enter your email address.
enterFirstName;Please enter your first name.
enterLastName;Please enter your last name.
enterMessage;Please enter your message.
enterPassword;Please enter a password.
enterPwConfirmation;Please confirm your password.
entriesSaved;The entry and its recurrences have been saved.
entryAllRecDeleted;The entry <b><i>{1}</i></b> and all its recurrences have been deleted.
entryDeleted;The entry <b><i>{1}</i></b> has been deleted.
entrySaved;The entry has been saved.
error;Error
errorAddingMembers;An error occurred with the following email addresses:
example;Example
exampleGroup;Example Group
existingMembers;The following users are already member of this group:
fileDeleted;{1} has been deleted.
fileDoc;File / Document
fileIsEmpty;The file <strong>{1}</strong> is empty.
fileName;File Name
fileNotDeleted;{1} could not be deleted.
fileNotUploaded;An error occurred with the file <b><i>{1}</i></b>.
filesDocs;Files / Documents
fileSizeExceeded;The file <b><i>{1}</i></b> exceeds the maximum image file size.
filesUploaded;{1} file(s) uploaded.
fileUpload;File Upload
filter;Filter
firstName;First Name
folder;Folder
folderCreated;The folder has been created.
folderName;Folder Name
forgotPassword;Forgot your password?
from;From
group;Group
groupDeleted;The group <b><i>{1}</i></b> has been deleted.
groupName;Group Name
groupQuit;You have quit the group <b><i>{1}</i></b>.
groups;Groups
guest;Guest
guestAccess;Guest Access
hideFileNames;Hide File Names
higherLevelRoles;Higher level roles have all permissions of lower level roles.
hours;hours
image;Image
imageDeleted;The image has been deleted.
